# GT/MT combo	# dups	# losses	Total score	Maps
GT-12 to MT-0	4	15	19	(TURTI-32264-002261_TURTI[TURTI+-0],(ISCAP-6945-00396b_ISCAP[ISCAP+-0],(CSCUL-CSCUL-0058b8_CSCUL[CSCUL+-0],((MOCCI-34638-003b13_MOCCI[MOCCI+-0],LRECL-LRECL-002be5_LRECL[LRECL+-0])<1>[<7>+-0],(PTEPI-PTEPI-0047e2_PTEPI[PTEPI+-0],SMIMO-407821-0003e8_SMIMO[SMIMO+-0])<2>[<2>+-0])<3>[<7>+-1])<4>[<7>+-1])<5>[<7>+-1])<6>[<7>+-1]
GT-13 to MT-0	10	20	30	((TURTI-32264-001f3a_TURTI[TURTI+-0],LHESP-LHESP-0033f9_LHESP[LHESP+-0])<1>[<7>+-0],(((ISCAP-6945-00257d_ISCAP[ISCAP+-0],(ISCAP-6945-000f5c_ISCAP[ISCAP+-0],(MOCCI-34638-00081d_MOCCI[MOCCI+-0],MOCCI-34638-00322c_MOCCI[MOCCI+-0])<2>[MOCCI+-1])<3>[<5>+-0])<4>[<5>+-1],CSCUL-CSCUL-005a4b_CSCUL[CSCUL+-0])<5>[<7>+-0],(CSCUL-CSCUL-005a4c_CSCUL[CSCUL+-0],((LRECL-LRECL-00444a_LRECL[LRECL+-0],(SMIMO-407821-001a38_SMIMO[SMIMO+-0],(PTEPI-PTEPI-002f95_PTEPI[PTEPI+-0],(LHESP-LHESP-001c08_LHESP[LHESP+-0],(((SMIMO-407821-005964_SMIMO[SMIMO+-0],LHESP-LHESP-001c06_LHESP[LHESP+-0])<6>[<2>+-0],PTEPI-PTEPI-002f94_PTEPI[PTEPI+-0])<7>[<2>+-1],LHESP-LHESP-001c07_LHESP[LHESP+-0])<8>[<2>+-1])<9>[<2>+-1])<10>[<2>+-1])<11>[<2>+-1])<12>[<3>+-0],LRECL-LRECL-004505_LRECL[LRECL+-0])<13>[<3>+-1])<14>[<4>+-0])<15>[<7>+-1])<16>[<7>+-1]
GT-14 to MT-0	8	22	30	((MOCCI-34638-0046ca_MOCCI[MOCCI+-0],ISCAP-6945-002abc_ISCAP[ISCAP+-0])<1>[<5>+-0],((ISCAP-6945-002aba_ISCAP[ISCAP+-0],((PTEPI-PTEPI-000aa6_PTEPI[PTEPI+-0],LHESP-LHESP-003d60_LHESP[LHESP+-0])<2>[<1>+-0],(TURTI-32264-003011_TURTI[TURTI+-0],LRECL-LRECL-001288_LRECL[LRECL+-0])<3>[<7>+-0])<4>[<7>+-1])<5>[<7>+-1],((((LRECL-LRECL-00307a_LRECL[LRECL+-0],(PTEPI-PTEPI-000aa5_PTEPI[PTEPI+-0],LHESP-LHESP-002d61_LHESP[LHESP+-0])<6>[<1>+-0])<7>[<3>+-0],((((LHESP-LHESP-003482_LHESP[LHESP+-0],PTEPI-PTEPI-0060e5_PTEPI[PTEPI+-0])<8>[<1>+-0],SMIMO-407821-00108a_SMIMO[SMIMO+-0])<9>[<2>+-0],LRECL-LRECL-00437a_LRECL[LRECL+-0])<10>[<3>+-0],CSCUL-CSCUL-0024a2_CSCUL[CSCUL+-0])<11>[<4>+-0])<12>[<4>+-1],CSCUL-CSCUL-0019c7_CSCUL[CSCUL+-0])<13>[<4>+-1],((PTEPI-PTEPI-005f64_PTEPI[PTEPI+-0],(LRECL-LRECL-002ca1_LRECL[LRECL+-0],CSCUL-CSCUL-0024a1_CSCUL[CSCUL+-0])<14>[<4>+-0])<15>[<4>+-1],TURTI-32264-003010_TURTI[TURTI+-0])<16>[<7>+-0])<17>[<7>+-1])<18>[<7>+-1])<19>[<7>+-1]
GT-15 to MT-0	5	9	14	((ISCAP-6945-00190d_ISCAP[ISCAP+-0],((CSCUL-CSCUL-004255_CSCUL[CSCUL+-0],((SMIMO-407821-000553_SMIMO[SMIMO+-0],(PTEPI-PTEPI-006c19_PTEPI[PTEPI+-0],LHESP-LHESP-000eeb_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<2>+-0],LRECL-LRECL-000d55_LRECL[LRECL+-0])<3>[<3>+-0])<4>[<4>+-0],MOCCI-34638-003aed_MOCCI[MOCCI+-0])<5>[<7>+-0])<6>[<7>+-1],(TURTI-32264-00225d_TURTI[TURTI+-0],(TURTI-32264-00225a_TURTI[TURTI+-0],(CSCUL-CSCUL-006f5d_CSCUL[CSCUL+-0],(CSCUL-CSCUL-0022c0_CSCUL[CSCUL+-0],CSCUL-CSCUL-005190_CSCUL[CSCUL+-0])<7>[CSCUL+-1])<8>[CSCUL+-1])<9>[<7>+-0])<10>[<7>+-1])<11>[<7>+-1]
GT-16 to MT-0	4	16	20	((((((PTEPI-PTEPI-0046e8_PTEPI[PTEPI+-0],SMIMO-407821-00049d_SMIMO[SMIMO+-0])<1>[<2>+-0],LHESP-LHESP-001ba3_LHESP[LHESP+-0])<2>[<2>+-1],ISCAP-6945-003ef8_ISCAP[ISCAP+-0])<3>[<7>+-0],LRECL-LRECL-003487_LRECL[LRECL+-0])<4>[<7>+-1],CSCUL-CSCUL-004a08_CSCUL[CSCUL+-0])<5>[<7>+-1],(LHESP-LHESP-001049_LHESP[LHESP+-0],CSCUL-CSCUL-00120c_CSCUL[CSCUL+-0])<6>[<4>+-0])<7>[<7>+-1]
GT-18 to MT-0	1	3	4	(CSCUL-CSCUL-0045be_CSCUL[CSCUL+-0],((SMIMO-407821-004969_SMIMO[SMIMO+-0],(PTEPI-PTEPI-003ad3_PTEPI[PTEPI+-0],LHESP-LHESP-000def_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<2>+-0],CSCUL-CSCUL-0045bf_CSCUL[CSCUL+-0])<3>[<4>+-0])<4>[<4>+-1]
GT-19 to MT-0	0	4	4	(ISCAP-6945-000e72_ISCAP[ISCAP+-0],(CSCUL-CSCUL-003aa6_CSCUL[CSCUL+-0],(SMIMO-407821-001075_SMIMO[SMIMO+-0],LHESP-LHESP-0014a7_LHESP[LHESP+-0])<1>[<2>+-0])<2>[<4>+-0])<3>[<7>+-0]
GT-20 to MT-0	3	11	14	((MOCCI-34638-00206e_MOCCI[MOCCI+-0],ISCAP-6945-001f14_ISCAP[ISCAP+-0])<1>[<5>+-0],((CSCUL-CSCUL-006dc7_CSCUL[CSCUL+-0],(TURTI-32264-0029d2_TURTI[TURTI+-0],LRECL-LRECL-002139_LRECL[LRECL+-0])<2>[<7>+-0])<3>[<7>+-1],(SMIMO-407821-003e28_SMIMO[SMIMO+-0],PTEPI-PTEPI-005d25_PTEPI[PTEPI+-0])<4>[<2>+-0])<5>[<7>+-1])<6>[<7>+-1]
GT-21 to MT-0	5	14	19	(LRECL-LRECL-00366d_LRECL[LRECL+-0],((CSCUL-CSCUL-006fbd_CSCUL[CSCUL+-0],(LRECL-LRECL-00366c_LRECL[LRECL+-0],((ISCAP-6945-00084a_ISCAP[ISCAP+-0],MOCCI-34638-0028e9_MOCCI[MOCCI+-0])<1>[<5>+-0],TURTI-32264-0019e5_TURTI[TURTI+-0])<2>[<6>+-0])<3>[<7>+-0])<4>[<7>+-1],(SMIMO-407821-001fad_SMIMO[SMIMO+-0],(PTEPI-PTEPI-006c7a_PTEPI[PTEPI+-0],(SMIMO-407821-003643_SMIMO[SMIMO+-0],PTEPI-PTEPI-006c7b_PTEPI[PTEPI+-0])<5>[<2>+-0])<6>[<2>+-1])<7>[<2>+-1])<8>[<7>+-1])<9>[<7>+-1]
GT-22 to MT-0	7	12	19	((MOCCI-34638-001f47_MOCCI[MOCCI+-0],(TURTI-32264-002524_TURTI[TURTI+-0],(TURTI-32264-002525_TURTI[TURTI+-0],TURTI-32264-002527_TURTI[TURTI+-0])<1>[TURTI+-1])<2>[TURTI+-1])<3>[<6>+-0],(((LRECL-LRECL-001f83_LRECL[LRECL+-0],(SMIMO-407821-001665_SMIMO[SMIMO+-0],PTEPI-PTEPI-004886_PTEPI[PTEPI+-0])<4>[<2>+-0])<5>[<3>+-0],(((LRECL-LRECL-0048a7_LRECL[LRECL+-0],((SMIMO-407821-001663_SMIMO[SMIMO+-0],(PTEPI-PTEPI-00719f_PTEPI[PTEPI+-0],PTEPI-PTEPI-004887_PTEPI[PTEPI+-0])<6>[PTEPI+-1])<7>[<2>+-0],PTEPI-PTEPI-004888_PTEPI[PTEPI+-0])<8>[<2>+-1])<9>[<3>+-0],CSCUL-CSCUL-004a74_CSCUL[CSCUL+-0])<10>[<4>+-0],ISCAP-6945-0000a3_ISCAP[ISCAP+-0])<11>[<7>+-0])<12>[<7>+-1],CSCUL-CSCUL-004a75_CSCUL[CSCUL+-0])<13>[<7>+-1])<14>[<7>+-1]
GT-23 to MT-0	2	4	6	(TURTI-32264-0006fb_TURTI[TURTI+-0],((MOCCI-34638-002b31_MOCCI[MOCCI+-0],ISCAP-6945-001ac9_ISCAP[ISCAP+-0])<1>[<5>+-0],(CSCUL-CSCUL-00043f_CSCUL[CSCUL+-0],(LRECL-LRECL-00443a_LRECL[LRECL+-0],(SMIMO-407821-00396d_SMIMO[SMIMO+-0],(SMIMO-407821-003970_SMIMO[SMIMO+-0],(LHESP-LHESP-000262_LHESP[LHESP+-0],PTEPI-PTEPI-000e6a_PTEPI[PTEPI+-0])<2>[<1>+-0])<3>[<2>+-0])<4>[<2>+-1])<5>[<3>+-0])<6>[<4>+-0])<7>[<7>+-0])<8>[<7>+-1]
GT-24 to MT-0	3	17	20	((TURTI-32264-003eb1_TURTI[TURTI+-0],CSCUL-CSCUL-002c83_CSCUL[CSCUL+-0])<1>[<7>+-0],((ISCAP-6945-00403a_ISCAP[ISCAP+-0],(PTEPI-PTEPI-0030d3_PTEPI[PTEPI+-0],SMIMO-407821-0012ac_SMIMO[SMIMO+-0])<2>[<2>+-0])<3>[<7>+-0],((SMIMO-407821-0012ab_SMIMO[SMIMO+-0],MOCCI-34638-002ec5_MOCCI[MOCCI+-0])<4>[<7>+-0],LHESP-LHESP-000edb_LHESP[LHESP+-0])<5>[<7>+-1])<6>[<7>+-1])<7>[<7>+-1]
GT-26 to MT-0	5	10	15	((ISCAP-6945-002dc0_ISCAP[ISCAP+-0],MOCCI-34638-0007d6_MOCCI[MOCCI+-0])<1>[<5>+-0],((PTEPI-PTEPI-003b90_PTEPI[PTEPI+-0],(LRECL-LRECL-0031da_LRECL[LRECL+-0],SMIMO-407821-002fc7_SMIMO[SMIMO+-0])<2>[<3>+-0])<3>[<3>+-1],((TURTI-32264-0001d4_TURTI[TURTI+-0],(TURTI-32264-0001d7_TURTI[TURTI+-0],TURTI-32264-003487_TURTI[TURTI+-0])<4>[TURTI+-1])<5>[TURTI+-1],CSCUL-CSCUL-00248d_CSCUL[CSCUL+-0])<6>[<7>+-0])<7>[<7>+-1])<8>[<7>+-1]
GT-27 to MT-0	2	4	6	(CSCUL-CSCUL-005f65_CSCUL[CSCUL+-0],((LRECL-LRECL-0025ec_LRECL[LRECL+-0],(SMIMO-407821-002dcd_SMIMO[SMIMO+-0],(PTEPI-PTEPI-001964_PTEPI[PTEPI+-0],LHESP-LHESP-004058_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<2>+-0])<3>[<3>+-0],((SMIMO-407821-001173_SMIMO[SMIMO+-0],(PTEPI-PTEPI-00090c_PTEPI[PTEPI+-0],LHESP-LHESP-0020c2_LHESP[LHESP+-0])<4>[<1>+-0])<5>[<2>+-0],CSCUL-CSCUL-00197f_CSCUL[CSCUL+-0])<6>[<4>+-0])<7>[<4>+-1])<8>[<4>+-1]
GT-28 to MT-0	3	14	17	((PTEPI-PTEPI-005736_PTEPI[PTEPI+-0],(CSCUL-CSCUL-0037aa_CSCUL[CSCUL+-0],SMIMO-407821-002970_SMIMO[SMIMO+-0])<1>[<4>+-0])<2>[<4>+-1],((LRECL-LRECL-000301_LRECL[LRECL+-0],ISCAP-6945-001a0e_ISCAP[ISCAP+-0])<3>[<7>+-0],MOCCI-34638-003112_MOCCI[MOCCI+-0])<4>[<7>+-1])<5>[<7>+-1]
GT-29 to MT-0	4	12	16	(ISCAP-6945-0036ae_ISCAP[ISCAP+-0],(TURTI-32264-00301d_TURTI[TURTI+-0],(MOCCI-34638-003a71_MOCCI[MOCCI+-0],(CSCUL-CSCUL-001f9c_CSCUL[CSCUL+-0],(SMIMO-407821-000b35_SMIMO[SMIMO+-0],((SMIMO-407821-00314b_SMIMO[SMIMO+-0],LHESP-LHESP-0024ca_LHESP[LHESP+-0])<1>[<2>+-0],PTEPI-PTEPI-0009fe_PTEPI[PTEPI+-0])<2>[<2>+-1])<3>[<2>+-1])<4>[<4>+-0])<5>[<7>+-0])<6>[<7>+-1])<7>[<7>+-1]
GT-30 to MT-0	3	9	12	((MOCCI-34638-004147_MOCCI[MOCCI+-0],ISCAP-6945-004c65_ISCAP[ISCAP+-0])<1>[<5>+-0],((CSCUL-CSCUL-00132b_CSCUL[CSCUL+-0],(TURTI-32264-0012ca_TURTI[TURTI+-0],(SMIMO-407821-0027f6_SMIMO[SMIMO+-0],PTEPI-PTEPI-0044fe_PTEPI[PTEPI+-0])<2>[<2>+-0])<3>[<7>+-0])<4>[<7>+-1],((LRECL-LRECL-003d2c_LRECL[LRECL+-0],((LHESP-LHESP-0005bb_LHESP[LHESP+-0],PTEPI-PTEPI-000444_PTEPI[PTEPI+-0])<5>[<1>+-0],SMIMO-407821-003d51_SMIMO[SMIMO+-0])<6>[<2>+-0])<7>[<3>+-0],CSCUL-CSCUL-000a24_CSCUL[CSCUL+-0])<8>[<4>+-0])<9>[<7>+-1])<10>[<7>+-1]
GT-31 to MT-0	3	13	16	(CSCUL-CSCUL-000e40_CSCUL[CSCUL+-0],((PTEPI-PTEPI-002d39_PTEPI[PTEPI+-0],SMIMO-407821-0010a8_SMIMO[SMIMO+-0])<1>[<2>+-0],(MOCCI-34638-001af8_MOCCI[MOCCI+-0],((SMIMO-407821-002117_SMIMO[SMIMO+-0],CSCUL-CSCUL-000e43_CSCUL[CSCUL+-0])<2>[<4>+-0],ISCAP-6945-001402_ISCAP[ISCAP+-0])<3>[<7>+-0])<4>[<7>+-1])<5>[<7>+-1])<6>[<7>+-1]
GT-32 to MT-0	10	11	21	((ISCAP-6945-0016f1_ISCAP[ISCAP+-0],(ISCAP-6945-003316_ISCAP[ISCAP+-0],(ISCAP-6945-003315_ISCAP[ISCAP+-0],(ISCAP-6945-003314_ISCAP[ISCAP+-0],ISCAP-6945-003317_ISCAP[ISCAP+-0])<1>[ISCAP+-1])<2>[ISCAP+-1])<3>[ISCAP+-1])<4>[ISCAP+-1],(((LRECL-LRECL-00103c_LRECL[LRECL+-0],(((LRECL-LRECL-0001cf_LRECL[LRECL+-0],LRECL-LRECL-005049_LRECL[LRECL+-0])<5>[LRECL+-1],PTEPI-PTEPI-005ff8_PTEPI[PTEPI+-0])<6>[<3>+-0],SMIMO-407821-005d31_SMIMO[SMIMO+-0])<7>[<3>+-1])<8>[<3>+-1],CSCUL-CSCUL-005a36_CSCUL[CSCUL+-0])<9>[<4>+-0],(TURTI-32264-004429_TURTI[TURTI+-0],(LRECL-LRECL-002ed3_LRECL[LRECL+-0],((LHESP-LHESP-0021bd_LHESP[LHESP+-0],PTEPI-PTEPI-0045f3_PTEPI[PTEPI+-0])<10>[<1>+-0],(SMIMO-407821-0034eb_SMIMO[SMIMO+-0],SMIMO-407821-000027_SMIMO[SMIMO+-0])<11>[SMIMO+-1])<12>[<2>+-0])<13>[<3>+-0])<14>[<7>+-0])<15>[<7>+-1])<16>[<7>+-1]
GT-33 to MT-0	5	12	17	(((TURTI-32264-001793_TURTI[TURTI+-0],TURTI-32264-0001fe_TURTI[TURTI+-0])<1>[TURTI+-1],(ISCAP-6945-0016a0_ISCAP[ISCAP+-0],ISCAP-6945-001007_ISCAP[ISCAP+-0])<2>[ISCAP+-1])<3>[<6>+-0],((MOCCI-34638-003e3f_MOCCI[MOCCI+-0],((CSCUL-CSCUL-0047a3_CSCUL[CSCUL+-0],SMIMO-407821-002d88_SMIMO[SMIMO+-0])<4>[<4>+-0],PTEPI-PTEPI-00642e_PTEPI[PTEPI+-0])<5>[<4>+-1])<6>[<7>+-0],CSCUL-CSCUL-005a9f_CSCUL[CSCUL+-0])<7>[<7>+-1])<8>[<7>+-1]
GT-34 to MT-0	0	5	5	(PTEPI-PTEPI-0009ba_PTEPI[PTEPI+-0],(ISCAP-6945-0026f5_ISCAP[ISCAP+-0],MOCCI-34638-00439a_MOCCI[MOCCI+-0])<1>[<5>+-0])<2>[<7>+-0]
GT-35 to MT-0	0	0	0	(((ISCAP-6945-002a69_ISCAP[ISCAP+-0],MOCCI-34638-0022fb_MOCCI[MOCCI+-0])<1>[<5>+-0],TURTI-32264-00037b_TURTI[TURTI+-0])<2>[<6>+-0],(CSCUL-CSCUL-001dec_CSCUL[CSCUL+-0],(LRECL-LRECL-0027a5_LRECL[LRECL+-0],((LHESP-LHESP-001cb6_LHESP[LHESP+-0],PTEPI-PTEPI-003cbb_PTEPI[PTEPI+-0])<3>[<1>+-0],SMIMO-407821-005f74_SMIMO[SMIMO+-0])<4>[<2>+-0])<5>[<3>+-0])<6>[<4>+-0])<7>[<7>+-0]
GT-36 to MT-0	6	12	18	(((LRECL-LRECL-001247_LRECL[LRECL+-0],(CSCUL-CSCUL-00372c_CSCUL[CSCUL+-0],(MOCCI-34638-0042f0_MOCCI[MOCCI+-0],ISCAP-6945-003c1f_ISCAP[ISCAP+-0])<1>[<5>+-0])<2>[<7>+-0])<3>[<7>+-1],(((SMIMO-407821-0023c9_SMIMO[SMIMO+-0],PTEPI-PTEPI-002c7d_PTEPI[PTEPI+-0])<4>[<2>+-0],CSCUL-CSCUL-00372e_CSCUL[CSCUL+-0])<5>[<4>+-0],TURTI-32264-003b4d_TURTI[TURTI+-0])<6>[<7>+-0])<7>[<7>+-1],(CSCUL-CSCUL-00372b_CSCUL[CSCUL+-0],(CSCUL-CSCUL-003998_CSCUL[CSCUL+-0],((LRECL-LRECL-001246_LRECL[LRECL+-0],LRECL-LRECL-004380_LRECL[LRECL+-0])<8>[LRECL+-1],(LRECL-LRECL-004ceb_LRECL[LRECL+-0],(SMIMO-407821-006687_SMIMO[SMIMO+-0],LHESP-LHESP-0042ce_LHESP[LHESP+-0])<9>[<2>+-0])<10>[<3>+-0])<11>[<3>+-1])<12>[<4>+-0])<13>[<4>+-1])<14>[<7>+-1]
GT-37 to MT-0	0	3	3	(CSCUL-CSCUL-0039f5_CSCUL[CSCUL+-0],(PTEPI-PTEPI-00503f_PTEPI[PTEPI+-0],SMIMO-407821-00484a_SMIMO[SMIMO+-0])<1>[<2>+-0])<2>[<4>+-0]
GT-38 to MT-0	2	8	10	(CSCUL-CSCUL-003037_CSCUL[CSCUL+-0],((PTEPI-PTEPI-004350_PTEPI[PTEPI+-0],(LHESP-LHESP-004176_LHESP[LHESP+-0],SMIMO-407821-00657c_SMIMO[SMIMO+-0])<1>[<2>+-0])<2>[<2>+-1],(ISCAP-6945-002438_ISCAP[ISCAP+-0],MOCCI-34638-001685_MOCCI[MOCCI+-0])<3>[<5>+-0])<4>[<7>+-0])<5>[<7>+-1]
GT-39 to MT-0	5	11	16	(CSCUL-CSCUL-006fed_CSCUL[CSCUL+-0],((LRECL-LRECL-003e1c_LRECL[LRECL+-0],(SMIMO-407821-005ea4_SMIMO[SMIMO+-0],PTEPI-PTEPI-00459c_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<3>+-0],((SMIMO-407821-002455_SMIMO[SMIMO+-0],PTEPI-PTEPI-0056b9_PTEPI[PTEPI+-0])<3>[<2>+-0],((TURTI-32264-0032cd_TURTI[TURTI+-0],MOCCI-34638-003e5a_MOCCI[MOCCI+-0])<4>[<6>+-0],(ISCAP-6945-004714_ISCAP[ISCAP+-0],(ISCAP-6945-000d80_ISCAP[ISCAP+-0],ISCAP-6945-004ed9_ISCAP[ISCAP+-0])<5>[ISCAP+-1])<6>[ISCAP+-1])<7>[<6>+-1])<8>[<7>+-0])<9>[<7>+-1])<10>[<7>+-1]
GT-40 to MT-0	7	23	30	(CSCUL-CSCUL-0070c0_CSCUL[CSCUL+-0],(((SMIMO-407821-0011d8_SMIMO[SMIMO+-0],(PTEPI-PTEPI-004ea2_PTEPI[PTEPI+-0],(LHESP-LHESP-0027f2_LHESP[LHESP+-0],LRECL-LRECL-004b79_LRECL[LRECL+-0])<1>[<3>+-0])<2>[<3>+-1])<3>[<3>+-1],(LHESP-LHESP-0027f1_LHESP[LHESP+-0],(PTEPI-PTEPI-0074c4_PTEPI[PTEPI+-0],(TURTI-32264-0010af_TURTI[TURTI+-0],TURTI-32264-0033f3_TURTI[TURTI+-0])<4>[TURTI+-1])<5>[<7>+-0])<6>[<7>+-1])<7>[<7>+-1],(ISCAP-6945-002ebe_ISCAP[ISCAP+-0],MOCCI-34638-001fcd_MOCCI[MOCCI+-0])<8>[<5>+-0])<9>[<7>+-1])<10>[<7>+-1]
