# GT/MT combo	# dups	# losses	Total score
GT-203 to MT-0	4	13	17
GT-204 to MT-0	2	2	4
GT-205 to MT-0	1	1	2
GT-206 to MT-0	4	12	16
GT-207 to MT-0	1	5	6
GT-208 to MT-0	5	2	7
GT-209 to MT-0	1	4	5
GT-210 to MT-0	0	1	1
GT-211 to MT-0	2	5	7
GT-212 to MT-0	4	7	11
GT-213 to MT-0	1	5	6
GT-214 to MT-0	2	2	4
GT-215 to MT-0	1	2	3
GT-216 to MT-0	2	5	7
GT-217 to MT-0	4	8	12
GT-218 to MT-0	5	5	10
GT-219 to MT-0	0	2	2
GT-221 to MT-0	1	6	7
GT-222 to MT-0	0	5	5
GT-223 to MT-0	6	14	20
GT-224 to MT-0	1	6	7
GT-225 to MT-0	1	4	5
GT-226 to MT-0	3	6	9
GT-227 to MT-0	1	5	6
GT-228 to MT-0	3	6	9
GT-229 to MT-0	2	4	6
GT-230 to MT-0	2	4	6
GT-231 to MT-0	2	9	11
GT-232 to MT-0	1	5	6
GT-233 to MT-0	1	0	1
GT-234 to MT-0	2	1	3
GT-235 to MT-0	1	4	5
GT-236 to MT-0	1	4	5
GT-237 to MT-0	0	4	4
GT-238 to MT-0	2	1	3
GT-239 to MT-0	2	8	10
GT-240 to MT-0	2	5	7
GT-241 to MT-0	0	1	1
GT-242 to MT-0	6	7	13
GT-243 to MT-0	1	6	7
GT-244 to MT-0	1	7	8
GT-245 to MT-0	3	15	18
GT-246 to MT-0	2	5	7
GT-247 to MT-0	0	3	3
GT-248 to MT-0	1	5	6
GT-249 to MT-0	3	11	14
GT-250 to MT-0	5	12	17
GT-251 to MT-0	3	3	6
GT-252 to MT-0	7	5	12
GT-253 to MT-0	2	3	5
GT-254 to MT-0	2	5	7
GT-255 to MT-0	2	8	10
GT-256 to MT-0	2	5	7
GT-257 to MT-0	6	3	9
GT-258 to MT-0	3	4	7
GT-259 to MT-0	2	10	12
GT-260 to MT-0	0	1	1
GT-261 to MT-0	4	5	9
GT-262 to MT-0	6	7	13
GT-263 to MT-0	1	4	5
GT-264 to MT-0	3	8	11
GT-265 to MT-0	2	6	8
GT-266 to MT-0	3	9	12
GT-267 to MT-0	3	5	8
GT-268 to MT-0	3	8	11
GT-269 to MT-0	6	5	11
GT-270 to MT-0	3	7	10
GT-271 to MT-0	1	7	8
GT-272 to MT-0	1	5	6
GT-273 to MT-0	2	3	5
GT-274 to MT-0	3	2	5
GT-275 to MT-0	1	5	6
GT-276 to MT-0	2	5	7
GT-277 to MT-0	3	4	7
GT-278 to MT-0	2	7	9
GT-279 to MT-0	2	1	3
GT-280 to MT-0	2	9	11
GT-281 to MT-0	5	5	10
GT-282 to MT-0	3	8	11
GT-283 to MT-0	2	6	8
GT-284 to MT-0	0	4	4
GT-285 to MT-0	3	10	13
GT-286 to MT-0	10	8	18
GT-287 to MT-0	1	2	3
GT-288 to MT-0	1	6	7
GT-289 to MT-0	1	8	9
GT-291 to MT-0	1	4	5
GT-292 to MT-0	2	6	8
GT-293 to MT-0	2	2	4
GT-294 to MT-0	1	4	5
GT-295 to MT-0	2	5	7
GT-296 to MT-0	1	1	2
GT-297 to MT-0	3	12	15
GT-298 to MT-0	1	6	7
GT-299 to MT-0	0	3	3
GT-300 to MT-0	2	4	6
GT-301 to MT-0	0	4	4
GT-302 to MT-0	2	5	7
GT-303 to MT-0	4	12	16
GT-304 to MT-0	2	2	4
GT-305 to MT-0	1	5	6
GT-306 to MT-0	0	3	3
GT-307 to MT-0	1	6	7
GT-308 to MT-0	2	1	3
GT-309 to MT-0	2	5	7
GT-310 to MT-0	2	3	5
GT-311 to MT-0	4	10	14
GT-312 to MT-0	2	6	8
GT-314 to MT-0	1	4	5
GT-315 to MT-0	2	4	6
GT-316 to MT-0	0	2	2
GT-317 to MT-0	8	8	16
GT-319 to MT-0	1	5	6
GT-320 to MT-0	2	4	6
GT-321 to MT-0	2	7	9
GT-322 to MT-0	4	5	9
GT-323 to MT-0	9	8	17
GT-324 to MT-0	1	4	5
GT-325 to MT-0	1	6	7
GT-326 to MT-0	6	9	15
GT-327 to MT-0	5	1	6
GT-328 to MT-0	0	2	2
GT-329 to MT-0	1	1	2
GT-330 to MT-0	1	8	9
GT-331 to MT-0	1	1	2
GT-332 to MT-0	3	7	10
GT-333 to MT-0	5	20	25
GT-334 to MT-0	3	9	12
GT-335 to MT-0	6	7	13
GT-336 to MT-0	3	1	4
GT-337 to MT-0	1	9	10
GT-338 to MT-0	4	14	18
GT-339 to MT-0	3	8	11
GT-340 to MT-0	1	7	8
GT-342 to MT-0	2	5	7
GT-343 to MT-0	0	3	3
GT-344 to MT-0	2	5	7
GT-345 to MT-0	2	1	3
GT-346 to MT-0	1	5	6
GT-347 to MT-0	0	5	5
GT-348 to MT-0	3	9	12
GT-349 to MT-0	5	1	6
GT-350 to MT-0	11	8	19
GT-351 to MT-0	3	4	7
GT-352 to MT-0	2	5	7
GT-353 to MT-0	16	11	27
GT-354 to MT-0	7	5	12
GT-355 to MT-0	3	3	6
GT-356 to MT-0	5	19	24
GT-357 to MT-0	13	7	20
GT-358 to MT-0	1	7	8
GT-359 to MT-0	0	4	4
GT-360 to MT-0	2	6	8
GT-361 to MT-0	2	4	6
GT-362 to MT-0	14	2	16
GT-363 to MT-0	3	1	4
GT-364 to MT-0	5	5	10
GT-365 to MT-0	4	13	17
GT-366 to MT-0	9	11	20
GT-367 to MT-0	3	4	7
GT-368 to MT-0	2	6	8
GT-369 to MT-0	9	13	22
GT-370 to MT-0	2	10	12
GT-371 to MT-0	2	6	8
GT-372 to MT-0	2	7	9
GT-373 to MT-0	3	4	7
GT-374 to MT-0	2	0	2
GT-375 to MT-0	1	5	6
GT-376 to MT-0	4	12	16
GT-377 to MT-0	1	5	6
GT-378 to MT-0	2	4	6
GT-379 to MT-0	3	11	14
GT-380 to MT-0	2	6	8
GT-381 to MT-0	1	5	6
GT-382 to MT-0	5	7	12
GT-383 to MT-0	8	5	13
GT-384 to MT-0	0	0	0
GT-385 to MT-0	1	4	5
GT-387 to MT-0	0	1	1
GT-388 to MT-0	0	4	4
GT-389 to MT-0	0	3	3
GT-390 to MT-0	2	5	7
GT-391 to MT-0	2	6	8
GT-392 to MT-0	3	0	3
GT-393 to MT-0	3	2	5
GT-394 to MT-0	1	3	4
GT-396 to MT-0	3	2	5
GT-397 to MT-0	5	12	17
GT-398 to MT-0	2	1	3
GT-399 to MT-0	1	2	3
GT-400 to MT-0	0	3	3
GT-401 to MT-0	1	5	6
GT-402 to MT-0	2	1	3
GT-403 to MT-0	1	4	5
GT-404 to MT-0	1	5	6
GT-405 to MT-0	0	3	3
GT-406 to MT-0	3	3	6
GT-407 to MT-0	4	9	13
GT-408 to MT-0	5	10	15
GT-409 to MT-0	2	9	11
GT-410 to MT-0	2	4	6
GT-411 to MT-0	2	5	7
GT-412 to MT-0	0	3	3
GT-413 to MT-0	1	1	2
GT-414 to MT-0	1	2	3
GT-415 to MT-0	0	2	2
GT-416 to MT-0	5	7	12
GT-417 to MT-0	3	8	11
GT-418 to MT-0	1	4	5
GT-420 to MT-0	3	5	8
GT-421 to MT-0	2	6	8
GT-422 to MT-0	3	9	12
GT-423 to MT-0	1	4	5
GT-424 to MT-0	2	4	6
GT-425 to MT-0	4	6	10
GT-426 to MT-0	6	7	13
GT-427 to MT-0	6	7	13
GT-428 to MT-0	2	5	7
GT-429 to MT-0	5	7	12
GT-430 to MT-0	17	9	26
GT-431 to MT-0	1	5	6
GT-432 to MT-0	4	14	18
GT-433 to MT-0	1	6	7
GT-434 to MT-0	9	4	13
GT-435 to MT-0	3	6	9
GT-436 to MT-0	4	3	7
GT-437 to MT-0	1	2	3
GT-438 to MT-0	1	7	8
GT-439 to MT-0	4	4	8
GT-440 to MT-0	1	4	5
GT-441 to MT-0	4	8	12
GT-442 to MT-0	3	14	17
GT-443 to MT-0	4	4	8
GT-444 to MT-0	4	11	15
GT-445 to MT-0	2	4	6
GT-446 to MT-0	3	5	8
GT-447 to MT-0	2	5	7
GT-448 to MT-0	2	4	6
GT-449 to MT-0	4	5	9
GT-450 to MT-0	2	7	9
GT-451 to MT-0	4	11	15
GT-452 to MT-0	1	3	4
GT-453 to MT-0	2	4	6
GT-454 to MT-0	0	4	4
GT-455 to MT-0	8	6	14
GT-456 to MT-0	7	4	11
GT-457 to MT-0	6	4	10
GT-458 to MT-0	1	6	7
GT-459 to MT-0	7	9	16
GT-460 to MT-0	1	4	5
GT-461 to MT-0	1	5	6
GT-462 to MT-0	0	2	2
GT-463 to MT-0	3	9	12
GT-464 to MT-0	6	12	18
GT-465 to MT-0	1	2	3
GT-466 to MT-0	4	3	7
GT-467 to MT-0	3	11	14
GT-468 to MT-0	1	3	4
GT-469 to MT-0	6	4	10
GT-471 to MT-0	1	4	5
GT-472 to MT-0	0	3	3
GT-473 to MT-0	5	7	12
GT-474 to MT-0	2	0	2
GT-475 to MT-0	0	3	3
GT-477 to MT-0	0	3	3
GT-478 to MT-0	5	10	15
GT-479 to MT-0	0	1	1
GT-480 to MT-0	0	2	2
GT-481 to MT-0	4	3	7
GT-482 to MT-0	1	1	2
GT-483 to MT-0	2	5	7
GT-484 to MT-0	3	4	7
GT-485 to MT-0	3	3	6
GT-486 to MT-0	3	5	8
GT-487 to MT-0	3	12	15
GT-488 to MT-0	1	5	6
GT-489 to MT-0	2	3	5
GT-490 to MT-0	1	5	6
GT-491 to MT-0	0	1	1
GT-493 to MT-0	4	10	14
GT-494 to MT-0	1	0	1
GT-495 to MT-0	16	23	39
GT-496 to MT-0	1	4	5
GT-497 to MT-0	3	10	13
GT-498 to MT-0	3	12	15
GT-499 to MT-0	1	5	6
GT-500 to MT-0	3	10	13
GT-501 to MT-0	4	13	17
GT-502 to MT-0	1	2	3
GT-503 to MT-0	0	1	1
GT-504 to MT-0	0	3	3
GT-505 to MT-0	1	1	2
GT-506 to MT-0	0	3	3
GT-507 to MT-0	1	1	2
GT-508 to MT-0	1	4	5
GT-509 to MT-0	2	3	5
GT-510 to MT-0	0	3	3
GT-511 to MT-0	3	6	9
GT-512 to MT-0	2	4	6
GT-513 to MT-0	1	4	5
GT-514 to MT-0	1	7	8
GT-515 to MT-0	2	9	11
GT-516 to MT-0	4	6	10
GT-517 to MT-0	17	14	31
GT-518 to MT-0	5	5	10
GT-519 to MT-0	0	5	5
GT-520 to MT-0	7	22	29
GT-521 to MT-0	1	5	6
GT-522 to MT-0	3	5	8
GT-523 to MT-0	1	4	5
GT-525 to MT-0	2	9	11
GT-526 to MT-0	2	7	9
GT-527 to MT-0	2	4	6
GT-528 to MT-0	4	8	12
GT-529 to MT-0	0	4	4
GT-530 to MT-0	1	4	5
GT-531 to MT-0	7	26	33
GT-532 to MT-0	2	1	3
GT-533 to MT-0	1	2	3
GT-534 to MT-0	1	4	5
GT-535 to MT-0	2	1	3
GT-536 to MT-0	5	8	13
GT-537 to MT-0	5	7	12
GT-538 to MT-0	2	11	13
GT-539 to MT-0	0	3	3
GT-540 to MT-0	2	2	4
GT-541 to MT-0	4	7	11
GT-542 to MT-0	1	4	5
GT-543 to MT-0	2	9	11
GT-544 to MT-0	7	3	10
GT-545 to MT-0	1	3	4
GT-546 to MT-0	5	2	7
GT-547 to MT-0	11	1	12
GT-548 to MT-0	0	3	3
GT-549 to MT-0	3	8	11
GT-550 to MT-0	1	2	3
GT-551 to MT-0	6	3	9
GT-552 to MT-0	4	3	7
GT-553 to MT-0	2	9	11
GT-554 to MT-0	7	4	11
GT-555 to MT-0	3	4	7
GT-556 to MT-0	1	5	6
GT-557 to MT-0	3	2	5
GT-558 to MT-0	0	1	1
GT-560 to MT-0	4	3	7
GT-561 to MT-0	6	13	19
GT-562 to MT-0	1	3	4
GT-563 to MT-0	0	1	1
GT-564 to MT-0	2	9	11
GT-565 to MT-0	3	5	8
GT-566 to MT-0	8	8	16
GT-567 to MT-0	1	1	2
GT-568 to MT-0	0	3	3
GT-569 to MT-0	2	3	5
GT-570 to MT-0	3	14	17
GT-571 to MT-0	3	7	10
GT-572 to MT-0	2	1	3
GT-573 to MT-0	3	4	7
GT-574 to MT-0	1	2	3
GT-576 to MT-0	1	4	5
GT-577 to MT-0	7	4	11
GT-578 to MT-0	3	7	10
GT-579 to MT-0	4	16	20
GT-580 to MT-0	0	1	1
GT-581 to MT-0	1	2	3
GT-582 to MT-0	1	4	5
GT-583 to MT-0	1	6	7
GT-584 to MT-0	8	2	10
GT-585 to MT-0	1	3	4
GT-586 to MT-0	0	1	1
GT-587 to MT-0	1	6	7
GT-590 to MT-0	0	3	3
GT-591 to MT-0	2	5	7
GT-592 to MT-0	0	1	1
GT-593 to MT-0	3	3	6
GT-594 to MT-0	1	4	5
GT-595 to MT-0	0	3	3
GT-596 to MT-0	1	6	7
GT-597 to MT-0	0	4	4
GT-598 to MT-0	2	6	8
GT-599 to MT-0	2	9	11
GT-600 to MT-0	0	3	3
GT-601 to MT-0	4	9	13
GT-602 to MT-0	0	2	2
GT-603 to MT-0	2	2	4
GT-604 to MT-0	1	1	2
GT-605 to MT-0	0	0	0
GT-606 to MT-0	4	3	7
GT-607 to MT-0	4	5	9
GT-608 to MT-0	6	4	10
GT-609 to MT-0	0	2	2
GT-610 to MT-0	2	0	2
GT-611 to MT-0	2	3	5
GT-612 to MT-0	5	12	17
GT-613 to MT-0	3	5	8
GT-614 to MT-0	4	7	11
GT-615 to MT-0	2	4	6
GT-616 to MT-0	2	6	8
GT-617 to MT-0	1	4	5
GT-618 to MT-0	1	4	5
GT-619 to MT-0	3	7	10
GT-620 to MT-0	2	6	8
GT-621 to MT-0	1	4	5
GT-622 to MT-0	1	1	2
GT-623 to MT-0	3	7	10
GT-624 to MT-0	3	6	9
GT-625 to MT-0	9	9	18
GT-626 to MT-0	0	5	5
GT-627 to MT-0	2	6	8
GT-628 to MT-0	1	6	7
GT-629 to MT-0	4	9	13
GT-630 to MT-0	1	0	1
GT-631 to MT-0	1	4	5
GT-632 to MT-0	1	5	6
GT-633 to MT-0	4	4	8
GT-634 to MT-0	0	1	1
GT-635 to MT-0	2	4	6
GT-636 to MT-0	4	4	8
GT-637 to MT-0	2	4	6
GT-638 to MT-0	0	2	2
GT-639 to MT-0	1	2	3
GT-640 to MT-0	1	4	5
GT-641 to MT-0	1	2	3
GT-642 to MT-0	2	4	6
GT-643 to MT-0	4	10	14
GT-644 to MT-0	1	3	4
GT-645 to MT-0	0	3	3
GT-646 to MT-0	10	6	16
GT-647 to MT-0	0	2	2
GT-648 to MT-0	3	13	16
GT-649 to MT-0	3	7	10
GT-651 to MT-0	2	5	7
GT-652 to MT-0	0	4	4
GT-653 to MT-0	4	6	10
GT-654 to MT-0	0	0	0
GT-655 to MT-0	1	3	4
GT-656 to MT-0	0	2	2
GT-657 to MT-0	3	9	12
GT-658 to MT-0	0	3	3
GT-659 to MT-0	3	6	9
GT-660 to MT-0	0	1	1
GT-661 to MT-0	2	1	3
GT-662 to MT-0	0	1	1
GT-663 to MT-0	2	9	11
GT-664 to MT-0	5	2	7
GT-665 to MT-0	1	2	3
GT-666 to MT-0	1	4	5
GT-667 to MT-0	1	4	5
GT-668 to MT-0	2	9	11
GT-669 to MT-0	6	17	23
GT-670 to MT-0	8	11	19
GT-671 to MT-0	0	3	3
GT-672 to MT-0	3	7	10
GT-673 to MT-0	2	6	8
GT-674 to MT-0	1	1	2
GT-675 to MT-0	3	3	6
GT-676 to MT-0	3	6	9
GT-677 to MT-0	5	2	7
GT-678 to MT-0	0	3	3
GT-679 to MT-0	2	7	9
GT-680 to MT-0	4	5	9
GT-681 to MT-0	3	2	5
GT-682 to MT-0	3	11	14
GT-683 to MT-0	0	3	3
GT-684 to MT-0	1	6	7
GT-685 to MT-0	2	7	9
GT-686 to MT-0	1	7	8
GT-687 to MT-0	6	9	15
GT-688 to MT-0	2	4	6
GT-689 to MT-0	8	5	13
GT-690 to MT-0	4	8	12
GT-691 to MT-0	7	1	8
GT-692 to MT-0	2	3	5
GT-693 to MT-0	3	4	7
GT-694 to MT-0	2	7	9
GT-695 to MT-0	6	7	13
GT-696 to MT-0	4	7	11
GT-698 to MT-0	4	3	7
GT-699 to MT-0	3	8	11
GT-700 to MT-0	2	2	4
GT-701 to MT-0	0	3	3
GT-702 to MT-0	5	8	13
GT-703 to MT-0	1	5	6
GT-704 to MT-0	1	2	3
GT-705 to MT-0	1	6	7
GT-706 to MT-0	3	4	7
GT-707 to MT-0	1	5	6
GT-708 to MT-0	0	4	4
GT-709 to MT-0	1	3	4
GT-710 to MT-0	0	3	3
GT-711 to MT-0	3	10	13
GT-712 to MT-0	1	5	6
GT-714 to MT-0	3	2	5
GT-715 to MT-0	0	3	3
GT-716 to MT-0	0	3	3
GT-717 to MT-0	1	3	4
GT-718 to MT-0	4	8	12
GT-719 to MT-0	1	3	4
GT-720 to MT-0	0	5	5
GT-721 to MT-0	4	9	13
GT-722 to MT-0	1	7	8
GT-723 to MT-0	2	6	8
GT-724 to MT-0	1	2	3
GT-725 to MT-0	2	4	6
GT-726 to MT-0	1	8	9
GT-727 to MT-0	2	0	2
GT-728 to MT-0	1	5	6
GT-729 to MT-0	4	10	14
GT-730 to MT-0	7	12	19
GT-731 to MT-0	1	5	6
GT-732 to MT-0	2	10	12
GT-733 to MT-0	8	8	16
GT-734 to MT-0	2	4	6
GT-735 to MT-0	0	3	3
GT-736 to MT-0	2	3	5
GT-737 to MT-0	2	2	4
GT-738 to MT-0	7	11	18
GT-739 to MT-0	1	5	6
GT-740 to MT-0	0	2	2
GT-741 to MT-0	0	2	2
GT-742 to MT-0	2	0	2
GT-744 to MT-0	1	5	6
GT-745 to MT-0	1	6	7
GT-746 to MT-0	1	6	7
GT-747 to MT-0	3	4	7
GT-748 to MT-0	1	4	5
GT-749 to MT-0	1	1	2
GT-750 to MT-0	7	8	15
GT-751 to MT-0	2	5	7
GT-752 to MT-0	6	10	16
GT-753 to MT-0	3	12	15
GT-754 to MT-0	2	7	9
GT-755 to MT-0	6	11	17
GT-756 to MT-0	3	6	9
GT-758 to MT-0	1	2	3
GT-759 to MT-0	6	7	13
GT-760 to MT-0	0	2	2
GT-762 to MT-0	2	7	9
GT-763 to MT-0	1	4	5
GT-764 to MT-0	4	0	4
GT-765 to MT-0	1	5	6
GT-766 to MT-0	1	6	7
GT-767 to MT-0	2	7	9
GT-768 to MT-0	2	11	13
GT-769 to MT-0	3	4	7
GT-770 to MT-0	2	11	13
GT-771 to MT-0	2	5	7
GT-772 to MT-0	1	2	3
GT-773 to MT-0	1	3	4
GT-774 to MT-0	7	4	11
GT-775 to MT-0	4	6	10
GT-776 to MT-0	4	5	9
GT-777 to MT-0	1	3	4
GT-778 to MT-0	0	3	3
GT-779 to MT-0	6	13	19
GT-780 to MT-0	2	3	5
GT-781 to MT-0	2	3	5
GT-782 to MT-0	2	4	6
GT-783 to MT-0	1	5	6
GT-784 to MT-0	5	1	6
GT-785 to MT-0	4	6	10
GT-786 to MT-0	4	12	16
GT-787 to MT-0	1	1	2
GT-788 to MT-0	5	14	19
GT-789 to MT-0	0	2	2
GT-790 to MT-0	8	4	12
GT-791 to MT-0	3	0	3
GT-792 to MT-0	5	6	11
GT-794 to MT-0	1	4	5
GT-795 to MT-0	4	4	8
GT-796 to MT-0	4	7	11
GT-798 to MT-0	2	5	7
GT-799 to MT-0	1	0	1
GT-800 to MT-0	3	2	5
GT-801 to MT-0	2	4	6
GT-802 to MT-0	0	3	3
GT-803 to MT-0	1	3	4
GT-804 to MT-0	0	3	3
GT-805 to MT-0	2	1	3
GT-807 to MT-0	2	4	6
GT-809 to MT-0	1	3	4
GT-810 to MT-0	3	5	8
GT-811 to MT-0	4	0	4
GT-812 to MT-0	5	5	10
GT-813 to MT-0	3	11	14
GT-814 to MT-0	2	5	7
GT-815 to MT-0	1	2	3
GT-816 to MT-0	2	4	6
GT-817 to MT-0	5	8	13
GT-818 to MT-0	2	4	6
GT-819 to MT-0	0	3	3
GT-821 to MT-0	1	2	3
GT-822 to MT-0	2	3	5
GT-823 to MT-0	4	7	11
GT-824 to MT-0	5	3	8
GT-825 to MT-0	3	4	7
GT-826 to MT-0	2	6	8
GT-827 to MT-0	2	7	9
GT-828 to MT-0	2	8	10
GT-829 to MT-0	0	2	2
GT-830 to MT-0	2	10	12
GT-831 to MT-0	4	15	19
GT-832 to MT-0	2	5	7
GT-833 to MT-0	5	8	13
GT-834 to MT-0	1	8	9
GT-835 to MT-0	1	6	7
GT-836 to MT-0	0	5	5
GT-838 to MT-0	2	1	3
GT-839 to MT-0	0	3	3
GT-840 to MT-0	3	10	13
GT-841 to MT-0	5	9	14
GT-842 to MT-0	5	2	7
GT-843 to MT-0	2	6	8
GT-844 to MT-0	2	3	5
GT-845 to MT-0	2	2	4
GT-846 to MT-0	0	3	3
GT-847 to MT-0	2	3	5
GT-848 to MT-0	5	11	16
GT-849 to MT-0	1	8	9
GT-850 to MT-0	1	0	1
GT-851 to MT-0	4	7	11
GT-852 to MT-0	2	7	9
GT-853 to MT-0	4	5	9
GT-854 to MT-0	1	1	2
GT-855 to MT-0	0	1	1
GT-856 to MT-0	9	7	16
GT-857 to MT-0	1	1	2
GT-858 to MT-0	1	5	6
GT-860 to MT-0	6	20	26
GT-861 to MT-0	0	1	1
GT-862 to MT-0	1	5	6
GT-863 to MT-0	4	3	7
